BIFJUEA,15,5078,87,RICH,DESPERATE
YNKRWYW,20,2146,34,RICH,DESPERATE
MFQVEFB,57,9216,56,INTELLIGENT,CHOOSY
ESCKOEL,36,9587,41,INTELLIGENT,DESPERATE
BUIFAGJ,79,6708,51,INTELLIGENT,CHOOSY
BVLBOFL,3,4155,55,RICH,DESPERATE
TVOVTBX,20,4837,8,ATTRACTIVE,CHOOSY
AXSKDLB,93,5816,65,INTELLIGENT,NORMAL
ARUSBEJ,74,9803,9,RICH,DESPERATE
SWLOMVO,19,5321,50,INTELLIGENT,NORMAL
HPCWUPI,20,8732,84,ATTRACTIVE,NORMAL
HRMTUBY,25,7342,52,RICH,DESPERATE
HUUDQBC,49,7891,65,INTELLIGENT,DESPERATE
QXHGOFA,38,2188,66,INTELLIGENT,CHOOSY
EADAVLX,86,9453,27,ATTRACTIVE,CHOOSY
QWGFSRQ,78,3879,82,INTELLIGENT,DESPERATE
MVEADDN,58,5096,82,ATTRACTIVE,CHOOSY
MTPHTVF,25,4326,100,ATTRACTIVE,DESPERATE
DDHMPCE,54,5251,1,RICH,NORMAL
GRPBJAC,25,2579,28,RICH,DESPERATE
GABGUPY,74,6081,40,ATTRACTIVE,NORMAL
EVSVAUX,59,9496,58,INTELLIGENT,CHOOSY
VNVMGRJ,8,6886,93,RICH,DESPERATE
JBVETWU,20,7172,11,ATTRACTIVE,DESPERATE
CHPAIJU,55,7609,22,ATTRACTIVE,NORMAL
GWDERNN,8,5061,40,ATTRACTIVE,DESPERATE
EFNEUKL,8,9025,4,RICH,DESPERATE
MJSDPSK,100,5676,57,RICH,NORMAL
MSYYMJJ,33,8201,80,RICH,NORMAL
GQVRTHA,82,2604,93,ATTRACTIVE,DESPERATE
RROKGQC,84,7581,47,ATTRACTIVE,CHOOSY
JDPCCCT,55,6300,79,RICH,NORMAL
YQJDXEC,43,6027,57,RICH,CHOOSY
ILQTNIM,10,8049,42,RICH,NORMAL
NNLEORE,69,5283,52,INTELLIGENT,DESPERATE
RIPNIQR,82,4549,83,INTELLIGENT,DESPERATE
DRMRPOM,26,8631,48,INTELLIGENT,CHOOSY
HTGCPHM,23,9236,69,RICH,CHOOSY
VENUOGF,14,5852,13,ATTRACTIVE,DESPERATE
GFDTEGP,66,7930,95,ATTRACTIVE,NORMAL
ILMIONA,80,8808,22,ATTRACTIVE,DESPERATE
GPLMSDN,53,6007,38,INTELLIGENT,CHOOSY
QLQURCB,2,2868,82,ATTRACTIVE,CHOOSY
FPJOQTK,87,4012,66,ATTRACTIVE,DESPERATE
ERFXOKH,46,3928,49,INTELLIGENT,NORMAL
CHOAGVO,70,4956,41,INTELLIGENT,CHOOSY
WVRHVQD,84,4465,83,ATTRACTIVE,DESPERATE
OHHPMIF,91,6188,25,RICH,DESPERATE
CWSBSTD,74,2143,2,RICH,NORMAL
PYFVRIC,67,2275,89,RICH,DESPERATE
