UTILITY,1562,757
LUXURY,2082,1731
LUXURY,3951,115
LUXURY,2542,1304
UTILITY,618,1565
UTILITY,2934,1172
UTILITY,1930,127
UTILITY,3512,1765
UTILITY,1477,1426
LUXURY,986,149
LUXURY,2417,823
LUXURY,904,330
UTILITY,3872,458
ESSENTIAL,3300,1124
UTILITY,3807,518
ESSENTIAL,3290,589
LUXURY,2944,232
LUXURY,100,357
UTILITY,1914,190
UTILITY,3784,1531
ESSENTIAL,2675,1510
UTILITY,2710,1427
UTILITY,2773,18
LUXURY,3143,995
ESSENTIAL,1124,1207
UTILITY,2698,281
ESSENTIAL,3832,392
UTILITY,3657,1178
LUXURY,3824,1903
ESSENTIAL,1849,230
LUXURY,3619,886
UTILITY,2841,1535
ESSENTIAL,3709,361
LUXURY,1615,1958
ESSENTIAL,407,1312
ESSENTIAL,2614,1927
LUXURY,1586,733
LUXURY,2712,1685
LUXURY,1118,1300
LUXURY,3829,1100
LUXURY,2377,1043
UTILITY,977,1030
UTILITY,2537,426
LUXURY,3262,742
ESSENTIAL,232,207
UTILITY,307,218
LUXURY,3616,595
LUXURY,2186,1924
ESSENTIAL,2646,769
UTILITY,3622,1988
LUXURY,3007,1509
ESSENTIAL,3039,477
ESSENTIAL,2034,193
UTILITY,2088,1072
UTILITY,804,1209
UTILITY,3666,376
UTILITY,3752,957
ESSENTIAL,1601,475
UTILITY,2734,1689
UTILITY,2079,1090
ESSENTIAL,901,471
ESSENTIAL,3693,1317
LUXURY,1320,321
UTILITY,3278,1462
LUXURY,2513,1031
LUXURY,1101,1707
LUXURY,3692,664
ESSENTIAL,2252,1327
ESSENTIAL,2531,1458
ESSENTIAL,594,857
LUXURY,3563,1715
UTILITY,1420,1537
LUXURY,887,668
LUXURY,623,1636
ESSENTIAL,1489,287
ESSENTIAL,2114,1454
LUXURY,3621,1784
UTILITY,2498,221
ESSENTIAL,2733,402
LUXURY,1988,1597
ESSENTIAL,3507,450
ESSENTIAL,2886,1369
ESSENTIAL,2807,933
UTILITY,3268,590
ESSENTIAL,2737,255
LUXURY,833,582
ESSENTIAL,1043,551
UTILITY,2741,177
LUXURY,2733,1529
ESSENTIAL,1357,95
UTILITY,1466,1913
LUXURY,3072,813
UTILITY,933,1138
UTILITY,2861,184
UTILITY,769,330
LUXURY,1003,964
LUXURY,1633,1787
UTILITY,1558,252
LUXURY,2233,1511
ESSENTIAL,270,1724
